code,rwy,cn,tora_m,toda_m,asda_m,lda_m,width_m,slope
YCFS,28,1,851,881,851,851,18,0.3% down to W
YCGO,17,1,981,1041,981,981,18,0.9% down to N
YCGO,35,1,981,1041,981,981,18,0.9% down to N
YCHK,09,4,2500,2560,2500,2500,45,0.23% down to E
YCHK,27,4,2500,2560,2500,2500,45,0.23% down to E
YCHT,01,1,1005,1065,1005,1005,23,Level
YCHT,19,1,1005,1065,1005,1005,23,Level
YCHT,06,3,1736,1796,1736,1736,30,from point 420M FM SW end: 0.56% down to SW; 0.92% down to NE
YCHT,24,3,1736,1796,1736,1736,30,from point 420M FM SW end: 0.56% down to SW; 0.92% down to NE
YCIN,11,MIL,3049,3354,3049,3049,45,0.46% Down to W
YCIN,29,MIL,3049,3354,3049,3049,45,0.46% Down to W
YCKI,13,2,1433,1496,1433,1433,23,0.8% down to each end from 600M (1970) from SE end
YCKI,31,2,1433,1496,1433,1433,23,0.8% down to each end from 600M (1970) from SE end
YCKN,11,3,1627,1687,1627,1567,30,0.2% down to E
YCKN,29,3,1567,1627,1567,1567,30,0.2% down to E
YCMT,01,2,1068,1128,1068,1068,30,0.9% down to N
YCMT,19,2,1068,1128,1068,1068,30,0.9% down to N
YCMT,15,2,1311,1371,1311,1311,30,overall 0.5% down to SE
YCMT,33,2,1311,1371,1311,1311,30,overall 0.5% down to SE
YCMU,06,2,914,974,914,914,18,Level
YCMU,24,2,914,974,914,914,18,Level
YCMU,12,3,1733,1793,1733,1733,30,0.1% down to SE
YCMU,30,3,1733,1793,1733,1733,30,0.1% down to SE
YCMW,13,1,1238,1268,1238,1238,18,level
YCMW,31,1,1238,1268,1238,1238,18,level
YCNF,12,3,2039,2099,2039,2039,30,Level
YCNF,30,3,2039,2099,2039,2039,30,Level
YCNK,17,2,1097,1157,1097,1097,23,Level 0.4%
YCNK,35,2,1097,1157,1097,1097,23,Level 0.4%
YCNM,05,3,1527,1587,1527,1527,30,Level
YCNM,23,3,1527,1587,1527,1527,30,Level
YCNM,12,1,580,640,580,580,30,0.2% down to NW
YCNM,30,1,580,640,580,580,30,0.2% down to NW
YCNY,14,3,1750,1810,1750,1750,30,Level
YCNY,32,3,1750,1810,1750,1410,30,Level
YCOE,11,2,1389,1449,1389,1389,30,0.29% down to W
YCOE,29,2,1389,1449,1389,1389,30,0.29% down to W
